word,coef,abs_coef
007,0.568996750230338,0.568996750230338
007의,0.22281150071662278,0.22281150071662278
0개는,-0.9984031840552725,0.9984031840552725
0점,-3.500776419474072,3.500776419474072
0점도,-0.8285245724710952,0.8285245724710952
0점은,-3.151024117542933,3.151024117542933
0점을,-2.500320887453124,2.500320887453124
0점이,-2.991893085178004,2.991893085178004
10,0.9017778166222569,0.9017778166222569
100,0.8408387715800331,0.8408387715800331
100배,1.0259471377003615,1.0259471377003615
100점,1.425219692208895,1.425219692208895
10개,-0.034875790699600964,0.034875790699600964
10년,0.5960862761797934,0.5960862761797934
10년도,0.5036678901485652,0.5036678901485652
10년만에,0.7249852147643913,0.7249852147643913
10년이,1.540315084672691,1.540315084672691
10년전,0.8080511281067821,0.8080511281067821
10년전에,-0.1418241192944535,0.1418241192944535
10대,-1.73673637511456,1.73673637511456
10번도,1.0072326021467597,1.0072326021467597
10분,-1.6259270853957377,1.6259270853957377
10분만에,-1.2177119568570762,1.2177119568570762
10자,-0.530356571742431,0.530356571742431
10점,3.1154337324585106,3.1154337324585106
10점도,2.6342217137196187,2.6342217137196187
10점드림,1.0391111629528331,1.0391111629528331
10점만점,0.7558396164411688,0.7558396164411688
10점만점에,0.8450653940021283,0.8450653940021283
10점은,-0.39623544103193936,0.39623544103193936
10점을,1.4118893838779647,1.4118893838779647
10점이,2.183248842655231,2.183248842655231
10점이다,2.214382934924566,2.214382934924566
10점이지,1.200897708491757,1.200897708491757
10점주는,-1.5861390998540394,1.5861390998540394
10점준,-1.0441361792916997,1.0441361792916997
10점준다,3.532393527113471,3.532393527113471
10점줌,2.308831782850181,2.308831782850181
10점짜리,0.7662834831393807,0.7662834831393807
11,0.779473586373608,0.779473586373608
11점을,-0.8876904335130831,0.8876904335130831
12세,-1.2672209547916098,1.2672209547916098
13구역,-0.08011626186368777,0.08011626186368777
13일의,0.011697741027497011,0.011697741027497011
14,0.02763380207887281,0.02763380207887281
15분,-0.9796036458614588,0.9796036458614588
15세,-0.3033679549724828,0.3033679549724828
16,0.5928616822614076,0.5928616822614076
18,-1.5854530624314096,1.5854530624314096
19금,-0.3361099778357453,0.3361099778357453
1人,-0.27730173542059494,0.27730173542059494
1개,-1.0821129761750776,1.0821129761750776
1개도,-1.148938743976696,1.148938743976696
1기,0.08292205689624284,0.08292205689624284
1도,-1.2342394619495833,1.2342394619495833
1등,0.2145056692607727,0.2145056692607727
1보다,-0.2535109579415704,0.2535109579415704
1빠,-0.5583287276429993,0.5583287276429993
1시간,-1.7185792564085345,1.7185792564085345
1위,-0.12724602210947109,0.12724602210947109
1은,-0.35346422411738015,0.35346422411738015
1을,-0.9670551042227585,0.9670551042227585
1이,-0.5906848396509954,0.5906848396509954
1인,-0.02583599965325856,0.02583599965325856
1인칭,-0.271497762885157,0.271497762885157
1점,-3.113406784682773,3.113406784682773
1점도,-4.607189436717125,4.607189436717125
1점도아깝다,-1.727898167324033,1.727898167324033
1점은,-0.9994816799155907,0.9994816799155907
1점을,-1.3589546536140253,1.3589546536140253
1점이,-1.4270126768572375,1.4270126768572375
1점이다,-1.610382360803265,1.610382360803265
1점주기도,-0.9204357122535386,0.9204357122535386
1점주는,1.6984449650649427,1.6984449650649427
1점준,0.22349983414129176,0.22349983414129176
1점준거중,-0.34030330375856216,0.34030330375856216
1점준것중에,-0.7710785101165809,0.7710785101165809
1점준다,-2.4776497561291726,2.4776497561291726
1점줌,-1.2310062138676103,1.2310062138676103
1점짜리,-0.7100199980856515,0.7100199980856515
1편,-0.6499854207291171,0.6499854207291171
1편과,-0.6917832023729276,0.6917832023729276
1편도,-0.2982312875456063,0.2982312875456063
1편보다,0.004090124269016277,0.004090124269016277
1편보단,0.03199592275810323,0.03199592275810323
1편에,-0.45336194669069785,0.45336194669069785
1편에서,-0.9376444236679448,0.9376444236679448
1편은,-0.8199770775225644,0.8199770775225644
1편을,-0.8951305694282701,0.8951305694282701
1편의,-1.5841643191168924,1.5841643191168924
1편이,-0.9924605109548715,0.9924605109548715
1회부터,0.5259255610806427,0.5259255610806427
20,-0.12628735063155186,0.12628735063155186
2000년대,-0.5869883135505758,0.5869883135505758
2001년,-0.3392663662910594,0.3392663662910594
2003년,0.42117306898767365,0.42117306898767365
2004년,0.357009188061858,0.357009188061858
2008년,0.026182569926598637,0.026182569926598637
2009년,0.1099506676102305,0.1099506676102305
2012,-0.15390257256108172,0.15390257256108172
2012년,-0.44741147189428443,0.44741147189428443
2013년,-0.13192270931139044,0.13192270931139044
2014,0.010332535825437278,0.010332535825437278
2014년,-0.27013579006239624,0.27013579006239624
2014년에,-0.5482193747553206,0.5482193747553206
2015년,0.45851003180962985,0.45851003180962985
20년,0.8430509395700783,0.8430509395700783
20년이,1.110640341777552,1.110640341777552
20년전,-0.6285314882508621,0.6285314882508621
20대,-0.2449890604616857,0.2449890604616857
20분,-1.0887357617741036,1.0887357617741036
20살,-0.046210953912051794,0.046210953912051794
20세기,0.5163461705780964,0.5163461705780964
21세기,0.5633965077924934,0.5633965077924934
21세기에,-0.5805959511987908,0.5805959511987908
22,-2.1864254400700367,2.1864254400700367
24,-0.4014481997956509,0.4014481997956509
25,-0.20865568733545786,0.20865568733545786
2가,0.37033996234033606,0.37033996234033606
2개,-0.6822485389077975,0.6822485389077975
2는,-0.41470293887539605,0.41470293887539605
2도,1.0613982624073046,1.0613982624073046
2명,-0.09645446472189227,0.09645446472189227
2배속으로,-1.16027543134663,1.16027543134663
2번,0.8586760629909017,0.8586760629909017
2번째,0.4000630913395407,0.4000630913395407
2시간,-1.1952697531397125,1.1952697531397125
2시간동안,0.34381763526965214,0.34381763526965214
2시간을,-0.8999646011084625,0.8999646011084625
2시간이,0.30571459070476564,0.30571459070476564
2점,-3.0048259119458924,3.0048259119458924
2점도,-0.5083380429197871,0.5083380429197871
2점부터,-1.2865229965200804,1.2865229965200804
2점은,-0.33834147123591035,0.33834147123591035
2점을,-0.26607530619413056,0.26607530619413056
2점준다,-2.1012335766094856,2.1012335766094856
2차,0.0007522680930004845,0.0007522680930004845
2탄,0.6461416112728867,0.6461416112728867
2편,0.26349083235943177,0.26349083235943177
2편도,1.0489462484885848,1.0489462484885848
2편에,-0.10635151596694145,0.10635151596694145
2편은,-0.14107484764313194,0.14107484764313194
2편을,-0.6026376746660419,0.6026376746660419
2편이,1.3434396927331458,1.3434396927331458
30,0.2893696681723907,0.2893696681723907
30년,0.2965899713284778,0.2965899713284778
30년전,0.12062389383874585,0.12062389383874585
30대,0.10703747599335493,0.10703747599335493
30분,-1.5660205335003339,1.5660205335003339
30분은,0.21997319382778388,0.21997319382778388
3d,-0.41968319355228206,0.41968319355228206
3d로,0.26998635603140514,0.26998635603140514
3개,-0.5183606720300256,0.5183606720300256
3는,0.15417197180892003,0.15417197180892003
3대,1.1026730812034944,1.1026730812034944
3류,-3.277931725243839,3.277931725243839
3류영화,-1.831513469302129,1.831513469302129
3명,-0.6776145974943418,0.6776145974943418
3번,0.9632922675272525,0.9632922675272525
3번째,0.2565204900222138,0.2565204900222138
3시간,0.777541838665041,0.777541838665041
3은,-0.14406683178570817,0.14406683178570817
3점,-3.3786177157619823,3.3786177157619823
3점은,-0.81518368778104,0.81518368778104
3점준다,-1.6571990817879183,1.6571990817879183
3편,0.31269928838317923,0.31269928838317923
3편은,-0.49370386511151715,0.49370386511151715
3편이,0.7604117171015907,0.7604117171015907
40대,-0.1007270632859467,0.1007270632859467
40분,-0.3681512702077153,0.3681512702077153
44,-1.762156358402226,1.762156358402226
4는,0.17870199171109302,0.17870199171109302
4점,-2.674780170561503,2.674780170561503
4점도,-0.6849277555978953,0.6849277555978953
4점은,-1.2975517553269096,1.2975517553269096
4편,0.6408269324181638,0.6408269324181638
4편은,0.5100826123963195,0.5100826123963195
50,0.04273973793111912,0.04273973793111912
50년대,0.05245695776172076,0.05245695776172076
5가,-0.27174006932278627,0.27174006932278627
5개,0.5438885731213328,0.5438885731213328
5는,0.4493850240096688,0.4493850240096688
5번,0.6158616196956292,0.6158616196956292
5분,-0.9221975755260303,0.9221975755260303
5점,0.6091173190055573,0.6091173190055573
5점은,0.48073302930039524,0.48073302930039524
5점이,-1.013290824905871,1.013290824905871
5점짜리,0.397309035125294,0.397309035125294
60년대,-0.9577060846003872,0.9577060846003872
6살,-0.3933427597357293,0.3933427597357293
6점,-0.14204325292196732,0.14204325292196732
6점대,0.7873252560917544,0.7873252560917544
70,-0.5910044840454634,0.5910044840454634
70년대,-0.7819809817028572,0.7819809817028572
7살,-0.37839996243509677,0.37839996243509677
7점,0.8227599272338392,0.8227599272338392
7점대,1.026955986400138,1.026955986400138
7점대가,-0.7641975634107236,0.7641975634107236
7점대는,1.7513087666665559,1.7513087666665559
7점은,1.6247560536444101,1.6247560536444101
7점이,-0.20007340635493553,0.20007340635493553
7점이나,-0.704675975943261,0.704675975943261
80,-1.0742410650274066,1.0742410650274066
80년대,-1.6097216311750728,1.6097216311750728
80년대에,-0.15697441956622685,0.15697441956622685
8점,1.341695732497136,1.341695732497136
8점대,0.5806467938720831,0.5806467938720831
8점대는,0.7020958782268387,0.7020958782268387
8점은,1.5072675523252104,1.5072675523252104
8점이,0.018172277120284398,0.018172277120284398
90,-0.40683052913360634,0.40683052913360634
90년대,-0.05996368109996688,0.05996368109996688
90년대에,-0.015936224988405176,0.015936224988405176
90분,-1.1502470759324424,1.1502470759324424
99,0.5174830749534365,0.5174830749534365
9살,-0.13575851457004193,0.13575851457004193
9점,3.22163437544684,3.22163437544684
9점대,0.5502049706850554,0.5502049706850554
9점대는,1.0665785054965855,1.0665785054965855
9점은,1.0389271452374618,1.0389271452374618
9점을,0.5669683699125743,0.5669683699125743
_신고,0.4276468522457888,0.4276468522457888
all,-0.3996095518257235,0.3996095518257235
and,1.153655782757671,1.153655782757671
are,0.679517236081536,0.679517236081536
a급,0.6217578421648047,0.6217578421648047
bad,-2.458032407187804,2.458032407187804
bb,1.1850380337051685,1.1850380337051685
be,0.032128794415652216,0.032128794415652216
best,1.979475587639271,1.979475587639271
blog,0.46621589649077133,0.46621589649077133
boring,-1.6545540680606545,1.6545540680606545
but,0.08895914907831676,0.08895914907831676
b급,-1.5290501120858144,1.5290501120858144
b급도,-0.7038271262399802,0.7038271262399802
b급영화,-1.084157614919601,1.084157614919601
cg,-0.8469347840974539,0.8469347840974539
cgv에서,-0.018151270522538704,0.018151270522538704
cg가,-1.1810246934190007,1.1810246934190007
cg는,-0.8240051994055637,0.8240051994055637
cg도,-0.5886705137675687,0.5886705137675687
cg로,0.16306070935647607,0.16306070935647607
cg를,-0.18103341278175414,0.18103341278175414
cg만,-0.021840484281020003,0.021840484281020003
cg에,-1.054133803288738,1.054133803288738
cg와,-0.4825678710869674,0.4825678710869674
com,0.6232404213211058,0.6232404213211058
c급,-2.514323743574157,2.514323743574157
