rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202302,Weekday,"457. 종로꽃시장 입구 옆",F,60대,23,0,228.5,0,459.46,4.21
202301,Weekend,"2230.이수역 4번 출구",M,60대,16,0,198,0,545.15,4.92
202302,Weekday,"2372. 대치역 사거리",M,50대,49,0,451.3333333333333,0,1681.3,13.563333333333333
202302,Weekday,"457. 종로꽃시장 입구 옆",F,기타,20,0,176.5,0,534.36,5.239999999999999
202302,Weekday,"457. 종로꽃시장 입구 옆",M,20대,42,0,408,0,1156.5349999999999,9.15
202302,Weekday,"457. 종로꽃시장 입구 옆",M,30대,84,0,707.5,0,2033.88,16.895
202302,Weekday,"2372. 대치역 사거리",NULL,20대,31,0,528.5,0,1362.845,12.685
202301,Weekend,"2230.이수역 4번 출구",M,70대이상,24,0,401,0,812.58,6.7
202302,Weekday,"457. 종로꽃시장 입구 옆",m,40대,60,0,421.5,0,1662.715,12.594999999999999
202302,Weekday,"2372. 대치역 사거리",NULL,30대,11,0,225,0,489.55,4.1049999999999995
202302,Weekday,"457. 종로꽃시장 입구 옆",M,50대,92,0,904.5,0,3307.325,26.155
202302,Weekday,"2372. 대치역 사거리",NULL,50대,19,0,272,0,768.7950000000001,6.645
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,~10대,7,0,30.333333333333332,0,129.82000000000002,1.0166666666666668
202302,Weekday,"457. 종로꽃시장 입구 옆",M,기타,29,0,400.5,0,1078.615,8.865
202302,Weekday,"2372. 대치역 사거리",NULL,기타,7,0,28.666666666666668,0,78.45333333333333,0.7633333333333333
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,20대,116,0,1470,0,3888.5600000000004,33.025
202302,Weekday,"2372. 대치역 사거리",F,20대,26,0,259,0,884.725,8.865
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,30대,83,0,1488.5,0,2973.33,25.349999999999998
202302,Weekday,"2372. 대치역 사거리",F,30대,14,0,206,0,330.185,3.37
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,40대,37,0,450.5,0,1178.36,9.98
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,50대,45,0,363,0,987.82,7.4799999999999995
202302,Weekday,"2372. 대치역 사거리",F,50대,11,0,180.5,0,600.455,6.245
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,60대,11,0,62,0,193.95999999999998,1.58
202302,Weekday,"2372. 대치역 사거리",F,60대,14,0,350,0,833.085,9.280000000000001
202302,Weekday,"457. 종로꽃시장 입구 옆",NULL,60대,7,0,296,0,344.42,2.9
